timestamp,red,ir
1766327388.9282415,122761,116556
1766327388.9391942,122761,116556
1766327388.9501452,122761,116556
1766327388.9610963,122637,116437
1766327388.972086,122822,116559
1766327388.9830394,122822,116559
1766327388.9939935,122822,116559
1766327389.0049462,122725,116458
1766327389.0159075,122825,116567
1766327389.0268598,122825,116567
1766327389.037812,122756,116509
1766327389.048764,122591,116451
1766327389.0597148,122591,116451
1766327389.0706875,122591,116451
1766327389.081643,122789,116491
1766327389.0925953,122322,116351
1766327389.1035466,122322,116351
1766327389.1145027,122322,116351
1766327389.1254728,122807,116507
1766327389.1364264,122198,116325
1766327389.147378,122198,116325
1766327389.1583285,122842,116507
1766327389.1693795,122222,116301
1766327389.1803367,122222,116301
1766327389.19129,122222,116301
1766327389.2022412,122880,116517
1766327389.2131937,122261,116339
1766327389.224174,122261,116339
1766327389.2351296,122863,116500
1766327389.2465317,122312,116374
1766327389.2576025,122312,116374
1766327389.2685802,122312,116374
1766327389.2795575,122916,116533
1766327389.2905135,122423,116419
1766327389.3014653,122423,116419
1766327389.312418,122423,116419
1766327389.3233852,122845,116511
1766327389.3343403,122465,116445
1766327389.3452933,122465,116445
1766327389.3562455,122594,116382
1766327389.367201,122466,116408
1766327389.378188,122466,116408
1766327389.3891425,122466,116408
1766327389.4006157,122397,116325
1766327389.4116757,122492,116427
1766327389.4226532,122492,116427
1766327389.4336102,122354,116299
1766327389.4445655,122519,116450
1766327389.4555187,122519,116450
1766327389.4664798,122519,116450
1766327389.477435,122413,116331
1766327389.4883914,122622,116475
1766327389.4993446,122622,116475
1766327389.5102975,122622,116475
1766327389.521256,122453,116351
1766327389.5322099,122652,116479
1766327389.5431628,122652,116479
1766327389.554115,122520,116350
1766327389.5650733,122739,116523
1766327389.5760422,122739,116523
1766327389.5871434,122739,116523
1766327389.5982087,122608,116400
1766327389.6092823,122809,116530
1766327389.6202643,122809,116530
1766327389.631239,122809,116530
1766327389.6421936,122575,116395
1766327389.653145,122813,116564
1766327389.6641102,122813,116564
1766327389.6750736,122596,116395
1766327389.6860287,122844,116546
1766327389.6969838,122844,116546
1766327389.7079372,122844,116546
1766327389.7189136,122637,116408
1766327389.7298708,122844,116529
1766327389.740824,122844,116529
1766327389.7517767,122669,116411
1766327389.7627316,122903,116562
1766327389.7737138,122903,116562
1766327389.7846715,122903,116562
